baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Zo_SA_chr02A_2439-Zo_SB_chr02B_2406	3575.20055002694	4.90873585997199	0.259777095882044	18.8959532529414	1.23143137285194e-79	6.00692223677176e-76
Zo_SA_chr02A_1114-Zo_SB_chr02B_1091	1905.18400117075	-4.78005653205768	0.256177826185738	-18.6591345676888	1.06441112000558e-77	2.59609872169361e-74
Zo_SA_chr01A_2925-Zo_SB_chr01B_2924	1607.2234802431	5.74487364392226	0.317998287851891	18.0657376576756	5.9323700527686e-73	9.64603370580174e-70
Zo_SA_chr01A_3689-Zo_SB_chr01B_3680	6049.25730014277	-4.50390596316838	0.27001576056074	-16.6801595351884	1.82730271026157e-62	2.22839565516398e-59
Zo_SA_chr01A_80-Zo_SB_chr01B_145	349.965512705725	-6.38707619474341	0.447302782067224	-14.2790889098104	2.9543861807612e-46	2.88229915795063e-43
Zo_SA_chr01A_1148-Zo_SB_chr01B_1171	628.670374921226	-7.41339168662281	0.526122603334887	-14.0906162168897	4.33760067238932e-45	3.52646934665252e-42
Zo_SA_chr01A_161-Zo_SB_chr01B_225	432.734258541461	-8.19716076478176	0.591043400244937	-13.8689659023089	9.76747960377073e-44	6.2476947391657e-41
Zo_SA_chr02A_1493-Zo_SB_chr02B_1480	1988.85536831155	-4.06847767409494	0.293423836834115	-13.8655322552919	1.02463218354501e-43	6.2476947391657e-41
Zo_SA_chr01A_3868-Zo_SB_chr01B_3858	1209.7539305229	6.03701695283105	0.437213784556328	13.8079291323288	2.28300663120482e-43	1.23738959411301e-40
Zo_SA_chr02A_3103-Zo_SB_chr02B_3101	4216.88069417934	4.37312411496769	0.316919791639438	13.7988356370719	2.59002184861764e-43	1.26341265775569e-40
Zo_SA_chr02A_2883-Zo_SB_chr02B_2852	302.186655941641	-6.20211329411045	0.483794479637307	-12.8197272915559	1.2714692796425e-37	5.63838831463284e-35
Zo_SA_chr01A_4042-Zo_SB_chr01B_4020	1137.8492614128	4.69103996158645	0.379797338779557	12.3514292560887	4.78536349093143e-35	1.94525025906362e-32
Zo_SA_chr01A_2316-Zo_SB_chr01B_2338	783.020945901588	9.67714185375766	0.784769546565195	12.3311893231751	6.15317625834163e-35	2.30886106063004e-32
Zo_SA_chr01A_2620-Zo_SB_chr01B_2621	226.773289233278	-6.345372141489	0.540900251489377	-11.7311318011351	8.82704139646531e-32	3.07559342371127e-29
Zo_SA_chr01A_2264-Zo_SB_chr01B_2282	581.142186956589	4.51222940032125	0.387167826214652	11.6544534302796	2.17773263842043e-31	7.08198654014323e-29
Zo_SA_chr01A_1983-Zo_SB_chr01B_2012	1440.23941767773	3.85478593509145	0.332822066485273	11.5821224710232	5.07731614809269e-31	1.54794676064976e-28
Zo_SA_chr01A_3975-Zo_SB_chr01B_3954	21655.5579775671	-3.24389602898431	0.28196962923948	-11.5044164073047	1.25334257167907e-30	3.59635592038266e-28
Zo_SA_chr01A_702-Zo_SB_chr01B_747	1585.7140492431	14.1039838204388	1.23261215324288	11.4423533658439	2.56823089101151e-30	6.95990571464121e-28
Zo_SA_chr01A_3062-Zo_SB_chr01B_3069	874.489053987812	5.2367296966108	0.466471535585308	11.2262577609156	3.03043472406928e-29	7.78024241263681e-27
Zo_SA_chr02A_2747-Zo_SB_chr02B_2713	1328.24974857316	13.8482617780492	1.23622197745731	11.2020834692914	3.98255435298889e-29	9.71345006693991e-27
Zo_SA_chr01A_2612-Zo_SB_chr01B_2606	1025.46023372064	-13.4676144277742	1.22602482486952	-10.9847811843512	4.52333394842686e-28	1.05070585716315e-25
Zo_SA_chr02A_3555-Zo_SB_chr02B_3582	1347.15479153942	4.39750553855116	0.400998744285653	10.9663823171939	5.5446704958064e-28	1.22940466720653e-25
Zo_SA_chr01A_1389-Zo_SB_chr01B_1415	1214.12922774863	-3.07247335897356	0.280292616059196	-10.9616635720603	5.84155559301396e-28	1.23891774707487e-25
Zo_SA_chr02A_3526-Zo_SB_chr02B_3558	641.416016114852	-4.00433001305874	0.367828044482542	-10.886418458636	1.33799190886201e-27	2.71946855476203e-25
