Block	geneID1	chr1	start_pos1	end_pos1	geneID2	chr2	start_pos2	end_pos2	ka_NG86	ks_NG86	ka_YN00	ks_YN00
1	Zo_SA_chr01A_1000	chr01A	30596942	30607208	Zo_SB_chr01B_1032	chr01B	26379722	26390158	0.0062	0.0336	0.0067	0.0276
1	Zo_SA_chr01A_1002	chr01A	30609272	30609802	Zo_SB_chr01B_1034	chr01B	26392180	26392710	0.01	0.0178	0.011	0.0134
1	Zo_SA_chr01A_1003	chr01A	30635235	30635600	Zo_SB_chr01B_1036	chr01B	26531781	26532140	0.1301	0.0894	0.127	0.0976
1	Zo_SA_chr01A_1004	chr01A	30717946	30720529	Zo_SB_chr01B_1039	chr01B	26615418	26617608	0.0018	0.0324	0.0017	0.0367
1	Zo_SA_chr01A_1006	chr01A	30936475	30938642	Zo_SB_chr01B_1040	chr01B	26674756	26676914	0.0012	0.0165	0.0013	0.0133
1	Zo_SA_chr01A_1007	chr01A	30941320	30948110	Zo_SB_chr01B_1041	chr01B	26679484	26686066	0.0751	0.1039	0.0709	0.1349
1	Zo_SA_chr01A_1008	chr01A	31072103	31074231	Zo_SB_chr01B_1043	chr01B	26744460	26746710	0.0431	0.0522	0.0411	0.0628
1	Zo_SA_chr01A_1010	chr01A	31104669	31108693	Zo_SB_chr01B_1046	chr01B	26783076	26788433	0.0269	0.0512	0.0266	0.0536
1	Zo_SA_chr01A_1011	chr01A	31126177	31127597	Zo_SB_chr01B_1048	chr01B	26824589	26828214	0.0247	0.0401	0.0229	0.053
1	Zo_SA_chr01A_1012	chr01A	31214643	31237969	Zo_SB_chr01B_1049	chr01B	26881954	26905184	0	0	0	0
1	Zo_SA_chr01A_1013	chr01A	31313976	31327082	Zo_SB_chr01B_1050	chr01B	26933048	26946307	0.0033	0.0149	0.0031	0.0172
1	Zo_SA_chr01A_1015	chr01A	31364252	31370766	Zo_SB_chr01B_1051	chr01B	26966318	26972820	0.0013	0.0039	0.0014	0.0034
1	Zo_SA_chr01A_1016	chr01A	31618117	31630177	Zo_SB_chr01B_1052	chr01B	27271364	27291745	0.0143	0.0204	0.0147	0.0189
1	Zo_SA_chr01A_1017	chr01A	31632565	31649222	Zo_SB_chr01B_1053	chr01B	27294022	27297664	0.032	0.1018	0.032	0.1017
1	Zo_SA_chr01A_1018	chr01A	31636460	31638639	Zo_SB_chr01B_1054	chr01B	27297912	27300226	0	0.0269	0	0.0215
1	Zo_SA_chr01A_1019	chr01A	31678122	31678809	Zo_SB_chr01B_1055	chr01B	27316318	27317005	0	0.0227	0	0.0387
1	Zo_SA_chr01A_1020	chr01A	31694005	31702611	Zo_SB_chr01B_1056	chr01B	27350962	27377957	0.0405	0.0967	0.0407	0.0958
1	Zo_SA_chr01A_1022	chr01A	31794560	31796977	Zo_SB_chr01B_1059	chr01B	27429354	27431629	0.0138	0.0075	0.0135	0.008
1	Zo_SA_chr01A_1023	chr01A	31850742	31853852	Zo_SB_chr01B_1067	chr01B	27703036	27706252	0.0073	0.0217	0.0071	0.0236
1	Zo_SA_chr01A_1032	chr01A	32147134	32153204	Zo_SB_chr01B_1068	chr01B	27791622	27797604	0.0044	0.0283	0.0047	0.0248
1	Zo_SA_chr01A_1033	chr01A	32182171	32183188	Zo_SB_chr01B_1070	chr01B	27862207	27862542	0.0079	0.013	0.008	0.0126
1	Zo_SA_chr01A_1034	chr01A	32279563	32280336	Zo_SB_chr01B_1071	chr01B	27944572	27945333	0.0036	0.0155	0.003	0.0303
1	Zo_SA_chr01A_1035	chr01A	32283102	32291961	Zo_SB_chr01B_1072	chr01B	27948170	27953158	0.0043	0.007	0.0044	0.0064
1	Zo_SA_chr01A_1038	chr01A	32303270	32310249	Zo_SB_chr01B_1075	chr01B	27965136	27971318	0.038	0.0865	0.0419	0.0654
1	Zo_SA_chr01A_1039	chr01A	32451680	32452693	Zo_SB_chr01B_1076	chr01B	28060125	28061138	0.0013	0.021	0.0013	0.0223
1	Zo_SA_chr01A_1040	chr01A	32453981	32460070	Zo_SB_chr01B_1077	chr01B	28062427	28068546	0.0237	0.0503	0.0245	0.0457
1	Zo_SA_chr01A_1042	chr01A	32527942	32532906	Zo_SB_chr01B_1079	chr01B	28144612	28149756	0.0103	0.0129	0.0107	0.0118
1	Zo_SA_chr01A_1043	chr01A	32533804	32540619	Zo_SB_chr01B_1080	chr01B	28150559	28158762	0	0.0155	0	0.0126
1	Zo_SA_chr01A_1050	chr01A	32633597	32634202	Zo_SB_chr01B_1081	chr01B	28159464	28160075	0.0027	0.0336	0.0025	0.0451
1	Zo_SA_chr01A_1052	chr01A	32666319	32666997	Zo_SB_chr01B_1082	chr01B	28312042	28312720	0.0045	0.0276	0.0043	0.0314
1	Zo_SA_chr01A_1056	chr01A	32791592	32792509	Zo_SB_chr01B_1084	chr01B	28369883	28370798	0.0054	0	0.0057	0
1	Zo_SA_chr01A_1058	chr01A	33034584	33039270	Zo_SB_chr01B_1087	chr01B	28562010	28567027	0.0559	0.0792	0.0552	0.0833
1	Zo_SA_chr01A_1059	chr01A	33040938	33042302	Zo_SB_chr01B_1088	chr01B	28568696	28570063	0.0042	0.0157	0.0041	0.0161
1	Zo_SA_chr01A_1060	chr01A	33102396	33103157	Zo_SB_chr01B_1089	chr01B	28655236	28655997	0	0.0224	0	0.0349
1	Zo_SA_chr01A_1063	chr01A	33365605	33371954	Zo_SB_chr01B_1090	chr01B	28776886	28783162	0.002	0.0069	0.0022	0.0058
1	Zo_SA_chr01A_1064	chr01A	33372085	33375340	Zo_SB_chr01B_1091	chr01B	28783264	28792634	0.009	0.0499	0.0094	0.0442
1	Zo_SA_chr01A_1066	chr01A	33443845	33457163	Zo_SB_chr01B_1092	chr01B	28816928	28830273	0.0044	0.0195	0.0044	0.0197
1	Zo_SA_chr01A_1067	chr01A	33508240	33510716	Zo_SB_chr01B_1093	chr01B	28880050	28882561	0.0011	0.0108	0.0011	0.0097
1	Zo_SA_chr01A_1068	chr01A	33590149	33594308	Zo_SB_chr01B_1094	chr01B	28942141	28946635	0	0.06	0	0.0545
1	Zo_SA_chr01A_1070	chr01A	33608069	33609160	Zo_SB_chr01B_1096	chr01B	28972461	28973552	0.0036	0.0269	0.0036	0.029
1	Zo_SA_chr01A_1071	chr01A	33610838	33621143	Zo_SB_chr01B_1097	chr01B	28974576	28978056	0.0111	0.0528	0.0133	0.0329
1	Zo_SA_chr01A_1072	chr01A	33621312	33632250	Zo_SB_chr01B_1098	chr01B	28978162	28989283	0.0064	0.0198	0.0063	0.0215
1	Zo_SA_chr01A_1073	chr01A	33667631	33668684	Zo_SB_chr01B_1099	chr01B	28992858	28995944	0.01	0.0229	0.0095	0.0276
1	Zo_SA_chr01A_1074	chr01A	33739365	33742701	Zo_SB_chr01B_1100	chr01B	28999685	29003008	0.0208	0.0415	0.0204	0.0443
1	Zo_SA_chr01A_1075	chr01A	33748659	33761210	Zo_SB_chr01B_1101	chr01B	29031203	29040976	0.0085	0.0166	0.0084	0.0171
1	Zo_SA_chr01A_1076	chr01A	33777078	33780963	Zo_SB_chr01B_1102	chr01B	29047595	29052764	0.0051	0	0.0055	0
1	Zo_SA_chr01A_1077	chr01A	33782422	33799157	Zo_SB_chr01B_1103	chr01B	29054217	29069528	0.0043	0.0105	0.0046	0.0087
1	Zo_SA_chr01A_1078	chr01A	33803070	33807296	Zo_SB_chr01B_1104	chr01B	29072886	29077111	0.0019	0.0291	0.0019	0.0263
1	Zo_SA_chr01A_1079	chr01A	33928603	33929847	Zo_SB_chr01B_1105	chr01B	29126435	29127595	0.0035	0.0067	0.0036	0.0064
1	Zo_SA_chr01A_1084	chr01A	34210791	34214788	Zo_SB_chr01B_1107	chr01B	29202395	29206417	0.0042	0.0205	0.0048	0.0141
1	Zo_SA_chr01A_1087	chr01A	34534551	34535996	Zo_SB_chr01B_1108	chr01B	29724265	29731641	0.0028	0.0107	0.0026	0.0133
1	Zo_SA_chr01A_1088	chr01A	34588594	34591213	Zo_SB_chr01B_1109	chr01B	29756496	29759004	0.0031	0.0332	0.0033	0.0283
1	Zo_SA_chr01A_1095	chr01A	36878111	36894319	Zo_SB_chr01B_1123	chr01B	32528667	32542390	0.0101	0.0236	0.0101	0.0238
1	Zo_SA_chr01A_1096	chr01A	36929462	36953327	Zo_SB_chr01B_1124	chr01B	32655890	32677160	0.0133	0.0184	0.0143	0.0153
1	Zo_SA_chr01A_1097	chr01A	36954226	36955469	Zo_SB_chr01B_1125	chr01B	32678076	32679317	0.0027	0.0183	0.0029	0.0144
1	Zo_SA_chr01A_1098	chr01A	36992290	36995282	Zo_SB_chr01B_1126	chr01B	32700206	32703196	0.0021	0.0388	0.0021	0.0363
1	Zo_SA_chr01A_1100	chr01A	37001093	37002762	Zo_SB_chr01B_1128	chr01B	32709760	32711429	0.0037	0.007	0.0036	0.0078
1	Zo_SA_chr01A_1105	chr01A	37254964	37256509	Zo_SB_chr01B_1129	chr01B	32808631	32810173	0.0126	0.0391	0.0126	0.0393
1	Zo_SA_chr01A_1111	chr01A	38108629	38115668	Zo_SB_chr01B_1137	chr01B	33763403	33774835	0.0056	0.0292	0.0056	0.0292
1	Zo_SA_chr01A_1112	chr01A	38385074	38405000	Zo_SB_chr01B_1138	chr01B	33963532	33990675	0.0104	0.0224	0.0103	0.0233
1	Zo_SA_chr01A_1115	chr01A	38846868	38851687	Zo_SB_chr01B_1141	chr01B	34243385	34248207	0.0039	0.0498	0.004	0.0459
1	Zo_SA_chr01A_1117	chr01A	38962188	38964016	Zo_SB_chr01B_1143	chr01B	34469825	34471667	0.0048	0.0198	0.0047	0.0203
1	Zo_SA_chr01A_1118	chr01A	39220614	39222583	Zo_SB_chr01B_1145	chr01B	34697382	34699384	0.0017	0.0177	0.0019	0.0143
1	Zo_SA_chr01A_1119	chr01A	39220765	39228279	Zo_SB_chr01B_1146	chr01B	34697533	34705045	0.007	0.0067	0.0076	0.0055
1	Zo_SA_chr01A_1120	chr01A	39264396	39274277	Zo_SB_chr01B_1147	chr01B	34745255	34752284	0.0409	0.056	0.0397	0.0623
1	Zo_SA_chr01A_1121	chr01A	39345617	39349266	Zo_SB_chr01B_1148	chr01B	34797508	34801169	0.0039	0.0185	0.0041	0.0154
1	Zo_SA_chr01A_1122	chr01A	39350086	39351869	Zo_SB_chr01B_1149	chr01B	34801995	34803776	0.0013	0.0191	0.0014	0.0161
1	Zo_SA_chr01A_1127	chr01A	39499045	39502668	Zo_SB_chr01B_1155	chr01B	35211149	35214798	0.0049	0.0257	0.0046	0.0342
1	Zo_SA_chr01A_1129	chr01A	39656647	39660421	Zo_SB_chr01B_1156	chr01B	35322734	35326510	0.0065	0.0348	0.0061	0.0449
1	Zo_SA_chr01A_1133	chr01A	40148047	40154749	Zo_SB_chr01B_1159	chr01B	35757199	35762467	0.0159	0.0109	0.0149	0.0137
1	Zo_SA_chr01A_1138	chr01A	40891587	40895857	Zo_SB_chr01B_1161	chr01B	35850517	35854775	0.0021	0.0098	0.0022	0.0093
1	Zo_SA_chr01A_1139	chr01A	40974470	40979078	Zo_SB_chr01B_1162	chr01B	35898272	35902878	0.0087	0.0171	0.009	0.0155
1	Zo_SA_chr01A_1140	chr01A	40980502	40992402	Zo_SB_chr01B_1163	chr01B	35905072	35915230	0.0015	0.0044	0.0016	0.0037
1	Zo_SA_chr01A_1143	chr01A	41140428	41141802	Zo_SB_chr01B_1166	chr01B	36040686	36042059	0.0066	0.0482	0.0063	0.0561
1	Zo_SA_chr01A_1144	chr01A	41185612	41192547	Zo_SB_chr01B_1167	chr01B	36058324	36062751	0.0453	0.0478	0.0463	0.045
1	Zo_SA_chr01A_1145	chr01A	41195470	41196558	Zo_SB_chr01B_1168	chr01B	36065273	36066361	0.0038	0.0385	0.0034	0.0555
1	Zo_SA_chr01A_1146	chr01A	41298205	41299495	Zo_SB_chr01B_1169	chr01B	36159791	36160867	0.036	0.0472	0.0316	0.0811
1	Zo_SA_chr01A_1147	chr01A	41301348	41303529	Zo_SB_chr01B_1170	chr01B	36162938	36165112	0.0025	0.0396	0.0026	0.0368
1	Zo_SA_chr01A_1148	chr01A	41405271	41421117	Zo_SB_chr01B_1171	chr01B	36196472	36201276	0.0034	0.0164	0.0035	0.0151
1	Zo_SA_chr01A_1150	chr01A	41575642	41582267	Zo_SB_chr01B_1172	chr01B	36444457	36451101	0.0072	0.0153	0.0074	0.0137
1	Zo_SA_chr01A_1151	chr01A	41583064	41588936	Zo_SB_chr01B_1173	chr01B	36452304	36457924	0.0049	0.0233	0.0055	0.0178
1	Zo_SA_chr01A_1152	chr01A	41599161	41609998	Zo_SB_chr01B_1174	chr01B	36505509	36516267	0.0078	0.0241	0.0084	0.0199
1	Zo_SA_chr01A_1153	chr01A	41616268	41616795	Zo_SB_chr01B_1175	chr01B	36523305	36523823	0.0027	0.0214	0.0023	0.0366
1	Zo_SA_chr01A_1154	chr01A	41625707	41626027	Zo_SB_chr01B_1176	chr01B	36526248	36526559	0	0.0121	0	0.017
1	Zo_SA_chr01A_1155	chr01A	41794573	41798394	Zo_SB_chr01B_1177	chr01B	36685114	36695741	0.0292	0.039	0.0311	0.032
1	Zo_SA_chr01A_1156	chr01A	41849952	41853794	Zo_SB_chr01B_1178	chr01B	36712025	36715885	0	0.0266	0	0.0218
1	Zo_SA_chr01A_1159	chr01A	42107523	42112583	Zo_SB_chr01B_1179	chr01B	36751525	36756449	0.0034	0.011	0.0036	0.0091
1	Zo_SA_chr01A_1161	chr01A	42206490	42231044	Zo_SB_chr01B_1181	chr01B	36865418	36874036	0.0041	0.02	0.0045	0.0159
