baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Zo_SA_chr01A_3868-Zo_SB_chr01B_3858	2805.03300519923	7.146387840202	0.321455613676821	22.2313362596514	1.70968953595522e-109	8.15350939697044e-106
Zo_SA_chr01A_2644-Zo_SB_chr01B_2643	681.482475545477	6.17495888618707	0.305703788611374	20.1991572110903	9.95822760090256e-91	2.37453937143521e-87
Zo_SA_chr01A_2264-Zo_SB_chr01B_2282	583.143060512923	6.98230045495003	0.375830697974295	18.5783133006011	4.81399231510407e-77	4.59158587014627e-74
Zo_SA_chr02A_2775-Zo_SB_chr02B_2738	1019.4265410234	5.67288924593123	0.317765802549474	17.8524221310693	2.7676806672268e-71	1.88558130028638e-68
Zo_SA_chr01A_2925-Zo_SB_chr01B_2924	2895.35610305841	5.79127489160852	0.331248131540548	17.4831926286643	1.92417533027317e-68	1.1470490187591e-65
Zo_SA_chr02A_2439-Zo_SB_chr02B_2406	5929.13768858869	4.72193440930621	0.271050061166159	17.4208940923705	5.72750993668047e-68	3.03494387644769e-65
Zo_SA_chr02A_2956-Zo_SB_chr02B_2937	861.136699384818	9.19240216021771	0.555806959773822	16.5388396071154	1.92698571725752e-61	8.35435898691011e-59
Zo_SA_chr01A_3062-Zo_SB_chr01B_3069	1377.43644258066	5.37748555215824	0.332765967492133	16.1599624886081	9.6620444920009e-59	3.07188601215682e-56
Zo_SA_chr02A_3103-Zo_SB_chr02B_3101	1570.74790717551	5.00857698141613	0.336939823691614	14.8649005823671	5.56975108106821e-50	1.39800752134812e-47
Zo_SA_chr01A_4042-Zo_SB_chr01B_4020	1285.55726354991	3.78022027229375	0.255840801195939	14.7756739918846	2.10243447946013e-49	5.01325501627268e-47
Zo_SA_chr02A_3555-Zo_SB_chr02B_3582	1442.92256856786	4.41112625021361	0.307657936067808	14.3377619527467	1.27088125549644e-46	2.88611081307739e-44
