baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Zo_SA_chr02A_1524-Zo_SB_chr02B_1509	2647.73169888254	-2.61296409730505	0.153716309974158	-16.9986132099081	8.40856701024392e-65	1.6425812248088e-62
Zo_SA_chr02A_3346-Zo_SB_chr02B_3347	1808.0135165187	-2.61148335300841	0.153625417348566	-16.9990317883604	8.34874535821238e-65	1.6425812248088e-62
Zo_SA_chr02A_230-Zo_SB_chr02B_215	812.866776838587	-2.80683896348568	0.167165632011824	-16.7907657196375	2.85142148933038e-63	4.99392060148586e-61
Zo_SA_chr01A_3975-Zo_SB_chr01B_3954	13502.3763947723	-2.75836853108234	0.182153518205557	-15.1430977466467	8.41545312294869e-52	9.09406093860774e-50
Zo_SA_chr02A_3716-Zo_SB_chr02B_3736	11302.9475726535	-1.63505982606339	0.11557629363198	-14.1470173050346	1.94847903247976e-45	1.86723113320089e-43
Zo_SA_chr02A_1761-Zo_SB_chr02B_1733	1474.80651152163	-2.99156754678533	0.219034235464593	-13.6579906809541	1.80906898143408e-42	1.50627235355798e-40
Zo_SA_chr02A_3368-Zo_SB_chr02B_3368	1235.60651555666	-2.95400162925679	0.216985619195587	-13.613812934737	3.31488063219921e-42	2.71552882757094e-40
Zo_SA_chr02A_1554-Zo_SB_chr02B_1542	2456.18040032328	-2.05940093147851	0.151418895783488	-13.6006864983564	3.9669233840968e-42	3.17476561066176e-40
Zo_SA_chr02A_920-Zo_SB_chr02B_893	444.213698486563	-2.62980410854071	0.196292272157893	-13.3973899208083	6.26271262177347e-41	4.81944203121022e-39
Zo_SA_chr02A_3541-Zo_SB_chr02B_3575	1136.86441953883	-1.90414266854235	0.149446815603183	-12.7412729462118	3.48659135429156e-37	2.52977106977812e-35
Zo_SA_chr01A_4228-Zo_SB_chr01B_4246	1414.74147669676	-1.82803735720889	0.159293838096107	-11.4758824261989	1.74389448277164e-30	1.02991163697642e-28
Zo_SA_chr01A_3924-Zo_SB_chr01B_3913	1241.38371575641	-1.65349181244903	0.148808366060032	-11.1115514283786	1.10227572515558e-28	6.08528087833175e-27
Zo_SA_chr02A_3465-Zo_SB_chr02B_3495	2835.10919480618	-2.97779417427868	0.27060329623939	-11.004279015302	3.64419181486614e-28	1.96902661996863e-26
Zo_SA_chr02A_736-Zo_SB_chr02B_709	670.190870920541	-2.00633689985366	0.193369953560483	-10.3756393530193	3.20062690819954e-25	1.56307539103322e-23
Zo_SA_chr01A_1511-Zo_SB_chr01B_1540	182.204814940318	-2.57058060931642	0.255060940048102	-10.0782997539005	6.89081546610585e-24	3.12486176360282e-22
Zo_SA_chr01A_2191-Zo_SB_chr01B_2209	285.090016435476	-2.71541433970807	0.270123180824646	-10.0525039406774	8.95622855191969e-24	4.02554732877877e-22
Zo_SA_chr01A_884-Zo_SB_chr01B_924	1765.13425106177	-1.69656118423735	0.169074136663207	-10.0344216905089	1.07587995127619e-23	4.7933283092384e-22
