Block	geneID1	chr1	start_pos1	end_pos1	geneID2	chr2	start_pos2	end_pos2	ka_NG86	ks_NG86	ka_YN00	ks_YN00	value_x	value_y	slope	outlier
1	Zo_SA_chr01A_1	chr01A	1954	4056	Zo_SB_chr01B_47	chr01B	426653	428731	0.1189	0.1626	0.1129	0.1993	3005	427692	142.327	NA
1	Zo_SA_chr01A_2	chr01A	15433	24328	Zo_SB_chr01B_48	chr01B	433311	450549	0.1407	0.1812	0.1421	0.1787	19880.5	441930	22.2293	NA
1	Zo_SA_chr01A_3	chr01A	26074	26706	Zo_SB_chr01B_49	chr01B	455606	456238	0.0022	0.0684	0.0019	0.1097	26390	455922	17.2763	NA
1	Zo_SA_chr01A_4	chr01A	28054	32669	Zo_SB_chr01B_50	chr01B	456812	463595	0	0.0239	0	0.0224	30361.5	460204	15.1575	NA
1	Zo_SA_chr01A_5	chr01A	32912	34060	Zo_SB_chr01B_51	chr01B	461806	463265	0.0172	0.0193	0.0174	0.0187	33486	462536	13.8128	NA
1	Zo_SA_chr01A_6	chr01A	35050	47226	Zo_SB_chr01B_52	chr01B	464170	476106	0.0254	0.0639	0.0246	0.0725	41138	470138	11.4283	NA
1	Zo_SA_chr01A_7	chr01A	61943	65107	Zo_SB_chr01B_53	chr01B	487550	490717	0.0049	0.0158	0.0051	0.0141	63525	489134	7.69986	NA
1	Zo_SA_chr01A_9	chr01A	76725	79402	Zo_SB_chr01B_54	chr01B	544905	547399	0	0.0381	0	0.0361	78063.5	546152	6.99625	NA
1	Zo_SA_chr01A_10	chr01A	95311	97894	Zo_SB_chr01B_55	chr01B	566872	569555	0.0065	0.0248	0.0063	0.0273	96602.5	568214	5.88198	NA
1	Zo_SA_chr01A_11	chr01A	98200	108009	Zo_SB_chr01B_56	chr01B	569861	579643	0.0076	0.0247	0.0077	0.0245	103104	574752	5.57446	NA
1	Zo_SA_chr01A_13	chr01A	118589	119656	Zo_SB_chr01B_58	chr01B	592866	593933	0.0117	0.0092	0.012	0.0086	119122	593400	4.98142	NA
1	Zo_SA_chr01A_15	chr01A	127626	129851	Zo_SB_chr01B_60	chr01B	602358	605667	0.009	0.0145	0.0092	0.0141	128738	604012	4.69178	NA
1	Zo_SA_chr01A_16	chr01A	138471	140616	Zo_SB_chr01B_63	chr01B	633859	634493	0.1421	0.184	0.1281	0.3056	139544	634176	4.54465	NA
1	Zo_SA_chr01A_17	chr01A	141633	145430	Zo_SB_chr01B_64	chr01B	638548	640830	0.1368	0.1771	0.1429	0.1583	143532	639689	4.45678	NA
1	Zo_SA_chr01A_19	chr01A	169586	170751	Zo_SB_chr01B_66	chr01B	665457	666748	0.0095	0.0125	0.0086	0.0201	170168	666102	3.91437	NA
1	Zo_SA_chr01A_20	chr01A	172951	174072	Zo_SB_chr01B_67	chr01B	668809	670376	0.3124	0.3975	0.3122	0.4073	173512	669592	3.85907	NA
1	Zo_SA_chr01A_22	chr01A	226154	229762	Zo_SB_chr01B_69	chr01B	700091	703767	0.006	0.0534	0.0061	0.0531	227958	701929	3.0792	NA
1	Zo_SA_chr01A_23	chr01A	229956	231380	Zo_SB_chr01B_70	chr01B	703893	705317	0.0047	0.0453	0.0051	0.0379	230668	704605	3.05463	NA
1	Zo_SA_chr01A_24	chr01A	231697	233792	Zo_SB_chr01B_71	chr01B	703972	707743	0.0953	0.1548	0.0986	0.14	232744	705858	3.03276	NA
1	Zo_SA_chr01A_25	chr01A	236023	239328	Zo_SB_chr01B_72	chr01B	710017	712760	0.0042	0.0143	0.0043	0.0132	237676	711388	2.99311	NA
1	Zo_SA_chr01A_26	chr01A	240611	244691	Zo_SB_chr01B_73	chr01B	714041	718298	0.0021	0.0313	0.0021	0.0323	242651	716170	2.95144	NA
1	Zo_SA_chr01A_27	chr01A	246271	247882	Zo_SB_chr01B_74	chr01B	719772	721334	0.0169	0.0261	0.0176	0.0233	247076	720553	2.91632	NA
1	Zo_SA_chr01A_28	chr01A	251728	253079	Zo_SB_chr01B_75	chr01B	725243	726594	0.01	0.0356	0.0105	0.0308	252404	725918	2.87602	NA
1	Zo_SA_chr01A_29	chr01A	255327	259672	Zo_SB_chr01B_76	chr01B	729727	734000	0	0.0365	0	0.0306	257500	731864	2.84219	NA
1	Zo_SA_chr01A_30	chr01A	261162	264877	Zo_SB_chr01B_77	chr01B	743360	747796	0.0041	0.0414	0.0042	0.0409	263020	745578	2.83469	NA
1	Zo_SA_chr01A_31	chr01A	266754	270239	Zo_SB_chr01B_78	chr01B	763113	766737	0	0.0398	0	0.0297	268496	764925	2.84892	NA
1	Zo_SA_chr01A_32	chr01A	270709	279404	Zo_SB_chr01B_79	chr01B	768973	776225	0.0156	0.0207	0.0163	0.0181	275056	772599	2.80887	NA
1	Zo_SA_chr01A_33	chr01A	281410	288800	Zo_SB_chr01B_81	chr01B	782474	819245	0.1654	0.693	0.1669	0.742	285105	800860	2.809	NA
1	Zo_SA_chr01A_36	chr01A	388982	405212	Zo_SB_chr01B_87	chr01B	915408	916214	0.0522	0.1034	0.0455	0.1927	397097	915811	2.30627	NA
1	Zo_SA_chr01A_38	chr01A	417484	422642	Zo_SB_chr01B_88	chr01B	925848	927651	0.0103	0.0277	0.0104	0.0267	420063	926750	2.20622	NA
1	Zo_SA_chr01A_39	chr01A	425757	429051	Zo_SB_chr01B_89	chr01B	942038	945151	0.0193	0.0343	0.0194	0.0338	427404	943594	2.20773	NA
1	Zo_SA_chr01A_40	chr01A	444599	445325	Zo_SB_chr01B_90	chr01B	960903	961630	0.0163	0.0363	0.0159	0.0398	444962	961266	2.16033	NA
1	Zo_SA_chr01A_41	chr01A	482845	486285	Zo_SB_chr01B_91	chr01B	997224	1000671	0.0224	0.0442	0.0229	0.0413	484565	998948	2.06153	NA
1	Zo_SA_chr01A_42	chr01A	550072	551503	Zo_SB_chr01B_92	chr01B	1008064	1009406	0.0062	0.0483	0.0065	0.0427	550788	1008735	1.83144	NA
1	Zo_SA_chr01A_43	chr01A	573720	577151	Zo_SB_chr01B_93	chr01B	1014193	1017624	0.0061	0.0182	0.0069	0.013	575436	1015910	1.76546	NA
1	Zo_SA_chr01A_45	chr01A	586156	587126	Zo_SB_chr01B_100	chr01B	1193703	1194670	0.0111	0.0259	0.0113	0.0249	586641	1194190	2.03563	NA
1	Zo_SA_chr01A_46	chr01A	589720	590993	Zo_SB_chr01B_101	chr01B	1195469	1196721	0.0057	0.0276	0.0055	0.0316	590356	1196095	2.02606	NA
1	Zo_SA_chr01A_47	chr01A	591047	596036	Zo_SB_chr01B_102	chr01B	1197599	1202032	0.0132	0.04	0.0139	0.0346	593542	1199820	2.02145	NA
1	Zo_SA_chr01A_48	chr01A	600715	604764	Zo_SB_chr01B_103	chr01B	1210708	1211946	0.0056	0.0078	0.0062	0.0058	602740	1211327	2.0097	NA
1	Zo_SA_chr01A_49	chr01A	627377	631995	Zo_SB_chr01B_104	chr01B	1218110	1222664	0.0232	0.0455	0.0243	0.0403	629686	1220387	1.93809	NA
1	Zo_SA_chr01A_50	chr01A	633199	635615	Zo_SB_chr01B_105	chr01B	1224324	1225995	0.0084	0.0275	0.008	0.0314	634407	1225160	1.93119	NA
1	Zo_SA_chr01A_51	chr01A	654501	655844	Zo_SB_chr01B_106	chr01B	1234798	1236141	0.001	0.027	9e-04	0.0344	655172	1235470	1.88572	NA
1	Zo_SA_chr01A_52	chr01A	677896	678672	Zo_SB_chr01B_108	chr01B	1258257	1259033	0.0071	0.0296	0.007	0.0303	678284	1258645	1.85563	NA
1	Zo_SA_chr01A_53	chr01A	680660	682996	Zo_SB_chr01B_109	chr01B	1260823	1263065	0.0091	0.0441	0.0083	0.0642	681828	1261944	1.85082	NA
1	Zo_SA_chr01A_54	chr01A	683192	687043	Zo_SB_chr01B_110	chr01B	1263261	1267081	0.0059	0.041	0.0061	0.0381	685118	1265171	1.84665	NA
1	Zo_SA_chr01A_55	chr01A	688162	690932	Zo_SB_chr01B_111	chr01B	1269042	1271233	0.0052	0.0258	0.0057	0.0204	689547	1270140	1.84199	NA
1	Zo_SA_chr01A_56	chr01A	691433	694195	Zo_SB_chr01B_112	chr01B	1271811	1274571	0.0074	0.0363	0.0079	0.0305	692814	1273191	1.83771	NA
1	Zo_SA_chr01A_57	chr01A	694587	697816	Zo_SB_chr01B_113	chr01B	1274961	1278191	0	0.0422	0	0.0402	696202	1276576	1.83363	NA
1	Zo_SA_chr01A_58	chr01A	698219	702125	Zo_SB_chr01B_114	chr01B	1279424	1283532	0.0438	0.0576	0.0429	0.0621	700172	1281478	1.83023	NA
1	Zo_SA_chr01A_64	chr01A	762510	768731	Zo_SB_chr01B_116	chr01B	1299058	1305238	0	0.0228	0	0.0179	765620	1302148	1.70077	NA
1	Zo_SA_chr01A_65	chr01A	775056	778282	Zo_SB_chr01B_117	chr01B	1311159	1314375	0.0058	0.0604	0.0062	0.0516	776669	1312767	1.69025	NA
1	Zo_SA_chr01A_66	chr01A	779798	782041	Zo_SB_chr01B_118	chr01B	1315869	1318112	0.0017	0.0333	0.002	0.0248	780920	1316990	1.68646	NA
1	Zo_SA_chr01A_67	chr01A	782569	789237	Zo_SB_chr01B_119	chr01B	1318660	1325619	0.014	0.0145	0.0154	0.0111	785903	1322140	1.68232	NA
1	Zo_SA_chr01A_68	chr01A	794988	796382	Zo_SB_chr01B_120	chr01B	1330889	1332277	0.0045	0.0154	0.0049	0.0123	795685	1331583	1.67351	NA
1	Zo_SA_chr01A_69	chr01A	806437	809970	Zo_SB_chr01B_122	chr01B	1342140	1345599	0.0075	0.016	0.0075	0.0164	808204	1343870	1.66279	NA
1	Zo_SA_chr01A_70	chr01A	808779	809972	Zo_SB_chr01B_123	chr01B	1344721	1345586	0.0078	0.0516	0.0076	0.0568	809376	1345150	1.66196	NA
1	Zo_SA_chr01A_72	chr01A	823826	826106	Zo_SB_chr01B_124	chr01B	1347160	1349439	0.0093	0.0054	0.0102	0.0043	824966	1348300	1.63437	NA
1	Zo_SA_chr01A_73	chr01A	848529	860310	Zo_SB_chr01B_126	chr01B	1383221	1384333	0.0099	0.0225	0.0098	0.0239	854420	1383777	1.61955	NA
1	Zo_SA_chr01A_74	chr01A	863940	866924	Zo_SB_chr01B_128	chr01B	1390047	1395927	0.4674	0.657	0.4646	0.7087	865432	1392987	1.60959	NA
1	Zo_SA_chr01A_75	chr01A	869840	873891	Zo_SB_chr01B_133	chr01B	1534856	1538908	0.0154	0.0236	0.0167	0.0187	871866	1536882	1.76275	NA
1	Zo_SA_chr01A_76	chr01A	893028	894365	Zo_SB_chr01B_138	chr01B	1656113	1657450	0.0254	0.043	0.0249	0.0464	893696	1656780	1.85385	NA
1	Zo_SA_chr01A_77	chr01A	911995	913332	Zo_SB_chr01B_140	chr01B	1664961	1665647	0.012	0.0112	0.0112	0.0138	912664	1665304	1.82466	NA
1	Zo_SA_chr01A_80	chr01A	945887	947401	Zo_SB_chr01B_145	chr01B	1742020	1746603	0.2196	0.3179	0.237	0.2566	946644	1744310	1.84263	NA
1	Zo_SA_chr01A_83	chr01A	991922	999907	Zo_SB_chr01B_146	chr01B	1746983	1753714	0.0407	0.0603	0.0404	0.0621	995914	1750350	1.75753	NA
1	Zo_SA_chr01A_87	chr01A	1046446	1057504	Zo_SB_chr01B_148	chr01B	1758392	1763414	0.0027	0.0169	0.0028	0.0147	1051975	1760903	1.6739	NA
1	Zo_SA_chr01A_88	chr01A	1067121	1080225	Zo_SB_chr01B_152	chr01B	1829551	1836180	0.0159	0.0416	0.017	0.0348	1073673	1832870	1.7071	NA
1	Zo_SA_chr01A_89	chr01A	1080650	1081168	Zo_SB_chr01B_155	chr01B	1895756	1896274	0.016	0.0603	0.015	0.0748	1080909	1896015	1.75409	NA
1	Zo_SA_chr01A_90	chr01A	1084328	1088042	Zo_SB_chr01B_156	chr01B	1900122	1904163	0.0057	0.024	0.0059	0.0223	1086185	1902140	1.75121	NA
1	Zo_SA_chr01A_91	chr01A	1088704	1089207	Zo_SB_chr01B_157	chr01B	1904378	1904881	0.0564	0.0626	0.0501	0.1054	1088960	1904630	1.74904	NA
1	Zo_SA_chr01A_92	chr01A	1090490	1091617	Zo_SB_chr01B_158	chr01B	1905806	1906993	0.0121	0.0277	0.0118	0.0307	1091050	1906400	1.7473	NA
1	Zo_SA_chr01A_94	chr01A	1105657	1107081	Zo_SB_chr01B_159	chr01B	1907679	1922829	0.0858	0.1452	0.0857	0.147	1106369	1915254	1.73112	NA
1	Zo_SA_chr01A_96	chr01A	1111301	1111894	Zo_SB_chr01B_160	chr01B	1924649	1925233	0.0076	0.0139	0.0079	0.0122	1111600	1924941	1.73169	NA
1	Zo_SA_chr01A_97	chr01A	1118970	1120474	Zo_SB_chr01B_161	chr01B	1944443	1945950	0.0119	0.0209	0.0114	0.0237	1119722	1945200	1.73721	NA
1	Zo_SA_chr01A_98	chr01A	1120986	1125767	Zo_SB_chr01B_162	chr01B	1946446	1951758	0	0.0318	0	0.0304	1123380	1949102	1.73504	NA
1	Zo_SA_chr01A_99	chr01A	1129603	1131160	Zo_SB_chr01B_163	chr01B	1954368	1955917	0.0072	0.0401	0.0066	0.0546	1130380	1955140	1.72963	NA
1	Zo_SA_chr01A_100	chr01A	1134531	1137577	Zo_SB_chr01B_164	chr01B	1961804	1964853	0.0045	0.0549	0.0049	0.0426	1136054	1963330	1.7282	NA
1	Zo_SA_chr01A_101	chr01A	1145014	1145685	Zo_SB_chr01B_165	chr01B	1972883	1973554	0.0059	0.025	0.0051	0.0514	1145350	1973220	1.72281	NA
1	Zo_SA_chr01A_102	chr01A	1160361	1161911	Zo_SB_chr01B_166	chr01B	1974915	1976465	0.0092	0.0516	0.0101	0.039	1161136	1975690	1.70151	NA
1	Zo_SA_chr01A_103	chr01A	1197464	1198913	Zo_SB_chr01B_167	chr01B	2019468	2020259	0.0241	0.0241	0.0205	0.0526	1198190	2019860	1.68576	NA
1	Zo_SA_chr01A_104	chr01A	1198828	1203773	Zo_SB_chr01B_168	chr01B	2020950	2025779	0.0065	0.0124	0.0068	0.0108	1201300	2023360	1.68431	NA
1	Zo_SA_chr01A_105	chr01A	1225619	1226356	Zo_SB_chr01B_169	chr01B	2043668	2044405	0.0054	0.028	0.0048	0.0482	1225990	2044040	1.66726	NA
1	Zo_SA_chr01A_106	chr01A	1239599	1240270	Zo_SB_chr01B_170	chr01B	2062366	2063037	0.004	0.0251	0.0035	0.0427	1239930	2062700	1.66356	NA
1	Zo_SA_chr01A_107	chr01A	1289587	1290258	Zo_SB_chr01B_172	chr01B	2100606	2101277	0.014	0.0707	0.0121	0.1403	1289920	2100940	1.62873	NA
1	Zo_SA_chr01A_109	chr01A	1329420	1330097	Zo_SB_chr01B_173	chr01B	2121191	2121868	0.002	0.0248	0.0017	0.0562	1329760	2121530	1.59542	NA
1	Zo_SA_chr01A_110	chr01A	1349142	1349822	Zo_SB_chr01B_174	chr01B	2129366	2137475	0.0098	0.037	0.0086	0.0691	1349482	2133420	1.58092	NA
1	Zo_SA_chr01A_111	chr01A	1354427	1355110	Zo_SB_chr01B_175	chr01B	2140201	2140890	0.0247	0.0855	0.0211	0.1998	1354770	2140550	1.58001	NA
1	Zo_SA_chr01A_112	chr01A	1375681	1376451	Zo_SB_chr01B_176	chr01B	2175363	2176130	0.0086	0.0279	0.0078	0.0428	1376066	2175750	1.58114	NA
