Number	Group	Chromosomes
133	A	chr01
73	A	chr02
257	A	chr01
144	A	chr02
95	A	chr01
55	A	chr02
241	A	chr01
140	A	chr02
143	A	chr01
91	A	chr02
207	A	chr01
133	A	chr02
155	A	chr01
77	A	chr02
234	A	chr01
138	A	chr02
141	A	chr01
91	A	chr02
218	A	chr01
134	A	chr02
209	A	chr01
126	A	chr02
134	A	chr01
64	A	chr02
222	A	chr01
122	A	chr02
145	A	chr01
85	A	chr02
138	A	chr01
74	A	chr02
206	A	chr01
114	A	chr02
162	A	chr01
72	A	chr02
138	A	chr01
84	A	chr02
195	A	chr01
117	A	chr02
252	A	chr01
142	A	chr02
164	A	chr01
71	A	chr02
75	A	chr01
58	A	chr02
120	A	chr01
79	A	chr02
163	A	chr01
90	A	chr02
191	A	chr01
106	A	chr02
184	A	chr01
109	A	chr02
268	A	chr01
162	A	chr02
186	A	chr01
112	A	chr02
227	A	chr01
136	A	chr02
229	A	chr01
155	A	chr02
139	A	chr01
90	A	chr02
192	A	chr01
133	A	chr02
54	A	chr01
38	A	chr02
19	A	chr01
18	A	chr02
114	B	chr01
75	B	chr02
238	B	chr01
150	B	chr02
97	B	chr01
47	B	chr02
237	B	chr01
146	B	chr02
152	B	chr01
86	B	chr02
217	B	chr01
128	B	chr02
134	B	chr01
84	B	chr02
216	B	chr01
127	B	chr02
132	B	chr01
77	B	chr02
226	B	chr01
128	B	chr02
221	B	chr01
130	B	chr02
130	B	chr01
67	B	chr02
221	B	chr01
128	B	chr02
139	B	chr01
80	B	chr02
142	B	chr01
73	B	chr02
186	B	chr01
120	B	chr02
134	B	chr01
93	B	chr02
135	B	chr01
74	B	chr02
192	B	chr01
129	B	chr02
237	B	chr01
153	B	chr02
148	B	chr01
104	B	chr02
92	B	chr01
46	B	chr02
128	B	chr01
77	B	chr02
149	B	chr01
101	B	chr02
167	B	chr01
105	B	chr02
173	B	chr01
118	B	chr02
261	B	chr01
163	B	chr02
188	B	chr01
122	B	chr02
221	B	chr01
129	B	chr02
222	B	chr01
140	B	chr02
141	B	chr01
100	B	chr02
201	B	chr01
131	B	chr02
44	B	chr01
36	B	chr02
24	B	chr01
12	B	chr02
