Block	geneID1	chr1	start_pos1	end_pos1	geneID2	chr2	start_pos2	end_pos2	ka_NG86	ks_NG86	ka_YN00	ks_YN00
<<<<<<< HEAD
1	PAxG01Ag0192400	chr01A	21404433	21410312	PAxG01Bg0189400	chr01B	20348716	20353243	0.0047	0.0276	0.0047	0.0268
1	PAxG01Ag0192500	chr01A	21412084	21417571	PAxG01Bg0189500	chr01B	20355068	20360780	0.0066	0.034	0.0067	0.0326
1	PAxG01Ag0192600	chr01A	21439495	21452809	PAxG01Bg0189700	chr01B	20382781	20390830	0.242	0.3508	0.2331	0.4134
1	PAxG01Ag0192700	chr01A	21480235	21480441	PAxG01Bg0189900	chr01B	20417453	20417656	0.0616	0.1502	0.0696	0.1052
1	PAxG01Ag0192800	chr01A	21497711	21504987	PAxG01Bg0190000	chr01B	20436115	20443452	0.005	0.0299	0.0054	0.0237
1	PAxG01Ag0192900	chr01A	21514716	21524892	PAxG01Bg0190100	chr01B	20457428	20467528	0.0063	0.009	0.0062	0.0093
1	PAxG01Ag0193000	chr01A	21540150	21542990	PAxG01Bg0190200	chr01B	20481843	20484690	0.0	0.0143	-0.0	0.0159
1	PAxG01Ag0193100	chr01A	21558506	21559246	PAxG01Bg0190300	chr01B	20494847	20495587	0.0018	0.022	0.0018	0.0222
1	PAxG01Ag0193200	chr01A	21580752	21581036	PAxG01Bg0190700	chr01B	20521760	20521933	0.0305	0.0	0.0337	-0.0
1	PAxG01Ag0193400	chr01A	21604041	21609053	PAxG01Bg0190900	chr01B	20542935	20546814	0.0049	0.0271	0.0048	0.0296
1	PAxG01Ag0193500	chr01A	21642286	21657355	PAxG01Bg0191000	chr01B	20587723	20598529	0.0152	0.0374	0.0152	0.0373
1	PAxG01Ag0193600	chr01A	21659676	21660767	PAxG01Bg0191100	chr01B	20601596	20602687	0.0036	0.0203	0.0037	0.019
1	PAxG01Ag0193700	chr01A	21691343	21692865	PAxG01Bg0191200	chr01B	20630208	20631711	0.0149	0.0	0.0162	-0.0
1	PAxG01Ag0193800	chr01A	21705849	21717305	PAxG01Bg0191400	chr01B	20668882	20674444	0.0138	0.0705	0.0134	0.0806
1	PAxG01Ag0194000	chr01A	21726624	21732904	PAxG01Bg0191500	chr01B	20700133	20707105	0.0249	0.0449	0.0253	0.0429
1	PAxG01Ag0194100	chr01A	21735721	21738592	PAxG01Bg0191600	chr01B	20706226	20712286	0.0134	0.0509	0.0141	0.0428
1	PAxG01Ag0194200	chr01A	21738962	21741362	PAxG01Bg0191700	chr01B	20712686	20715221	0.0	0.0044	-0.0	0.0038
1	PAxG01Ag0194300	chr01A	21741566	21745844	PAxG01Bg0191800	chr01B	20715365	20719341	0.023	0.0633	0.0257	0.0468
1	PAxG01Ag0194400	chr01A	21756597	21765508	PAxG01Bg0191900	chr01B	20731770	20740658	0.0046	0.0112	0.0052	0.0082
1	PAxG01Ag0194500	chr01A	21771735	21775094	PAxG01Bg0192000	chr01B	20771198	20773015	0.2427	0.4408	0.2414	0.4661
1	PAxG01Ag0194600	chr01A	21774280	21776024	PAxG01Bg0192100	chr01B	20773810	20775483	0.0054	0.0363	0.0059	0.0283
1	PAxG01Ag0194700	chr01A	21861761	21863432	PAxG01Bg0192900	chr01B	20940493	20947175	0.0131	0.0372	0.0141	0.0301
1	PAxG01Ag0194900	chr01A	21871527	21873588	PAxG01Bg0193000	chr01B	20951083	20953143	0.0133	0.0054	0.0128	0.0061
1	PAxG01Ag0195200	chr01A	21902503	21908738	PAxG01Bg0193100	chr01B	20964947	20971177	0.0011	0.0074	0.0012	0.0074
1	PAxG01Ag0195300	chr01A	21909180	21912673	PAxG01Bg0193200	chr01B	20971680	20975046	0.0334	0.0538	0.0325	0.0593
1	PAxG01Ag0195400	chr01A	21935685	21937157	PAxG01Bg0193300	chr01B	20998343	20999815	0.0027	0.0143	0.0027	0.0141
1	PAxG01Ag0195500	chr01A	21952632	21954905	PAxG01Bg0193400	chr01B	21023374	21025910	0.1759	0.1955	0.1676	0.246
1	PAxG01Ag0195600	chr01A	21965787	21971108	PAxG01Bg0193500	chr01B	21039147	21042555	0.0171	0.0418	0.0167	0.0457
1	PAxG01Ag0195700	chr01A	21966126	21968353	PAxG01Bg0193600	chr01B	21037625	21039097	0.0155	0.0145	0.0158	0.0137
1	PAxG01Ag0195800	chr01A	21992347	21996220	PAxG01Bg0193700	chr01B	21055499	21069586	0.0662	0.076	0.0644	0.0844
1	PAxG01Ag0195900	chr01A	21999638	22000795	PAxG01Bg0193800	chr01B	21063363	21064523	0.0035	0.0104	0.0035	0.0108
1	PAxG01Ag0196000	chr01A	22022222	22023856	PAxG01Bg0194000	chr01B	21118613	21120247	0.0112	0.042	0.0115	0.0383
1	PAxG01Ag0196200	chr01A	22027465	22036124	PAxG01Bg0194300	chr01B	21140163	21143120	0.0208	0.0601	0.0215	0.0556
1	PAxG01Ag0196300	chr01A	22044852	22054498	PAxG01Bg0194400	chr01B	21147060	21157986	0.057	0.0829	0.0565	0.0862
1	PAxG01Ag0196500	chr01A	22066467	22071734	PAxG01Bg0194600	chr01B	21168702	21173940	0.0192	0.0232	0.021	0.0188
1	PAxG01Ag0196600	chr01A	22080049	22081053	PAxG01Bg0194700	chr01B	21181990	21194353	0.0556	0.0936	0.0536	0.1074
1	PAxG01Ag0196900	chr01A	22108446	22117202	PAxG01Bg0194800	chr01B	21203267	21212367	0.012	0.0471	0.0121	0.0459
1	PAxG01Ag0197000	chr01A	22134810	22140307	PAxG01Bg0194900	chr01B	21232272	21237807	0.0499	0.0554	0.0484	0.0626
1	PAxG01Ag0197100	chr01A	22157570	22165562	PAxG01Bg0195300	chr01B	21275582	21284064	0.0219	0.0346	0.0218	0.0353
